@relation labeled_data_noextras-random.arff

@attribute post_count numeric
@attribute follower_count numeric
@attribute following_count numeric
@attribute anonymous_pic numeric
@attribute is_private numeric
@attribute is_business numeric
@attribute is_verified numeric
@attribute following_tags_count numeric
@attribute usertags_count numeric
@attribute has_highlight_reels numeric
@attribute class {'authentic','poor'}
@data
126,11002,816,0,0,1,0,0,10,0,'authentic'
30,91,668,0,0,1,0,0,0,0,'poor'
9,4253,151,0,0,1,0,0,9,0,'poor'
36,1273,965,0,0,1,0,0,19,0,'poor'
8,20578,3951,0,0,1,0,2,11,0,'authentic'
1,1230,369,0,0,1,0,0,0,0,'poor'
3,684,152,0,0,1,0,0,0,0,'poor'
9,136,411,0,0,0,0,0,0,0,'poor'
62,399,2120,0,0,0,0,1,3,0,'poor'
44,826,6257,0,0,0,0,0,0,1,'poor'
93,3216,986,0,0,1,0,8,2,1,'poor'
34,398,2486,0,0,1,0,0,0,0,'poor'
27,113,120,0,1,0,0,0,0,0,'poor'
116,81,109,0,0,0,0,0,0,0,'poor'
15,32,203,0,0,0,0,0,0,0,'poor'
16,406,526,0,0,0,0,0,0,0,'poor'
10204,154008,6284,0,1,0,0,0,0,1,'authentic'
12,87,531,0,0,0,0,0,0,0,'poor'
0,398,1729,0,0,0,0,0,0,0,'poor'
4,175,629,0,0,0,0,0,0,0,'poor'
8,38,286,0,0,0,0,0,0,1,'poor'
25,223,651,0,0,0,0,0,0,0,'poor'
166,56659,5968,0,0,1,0,0,85,1,'authentic'
168,828,3119,0,0,1,0,0,0,0,'poor'
30,10038,2645,0,1,0,0,0,0,0,'authentic'
141,148,561,0,0,1,0,0,0,0,'poor'
115,512,1962,0,0,0,0,0,0,1,'poor'
228,172,309,0,0,0,0,0,20,1,'poor'
55,5767,3038,0,0,0,0,0,5,1,'authentic'
2,704,1759,0,0,0,0,1,5,0,'poor'
12,192,1259,0,0,0,0,0,1,0,'poor'
187,1742,1590,0,0,1,0,3,72,0,'poor'
42,125,612,0,0,0,0,0,0,0,'poor'
749,641,1120,0,0,0,0,0,0,1,'poor'
13,43,111,0,0,0,0,0,0,0,'poor'
3,38,121,1,1,0,0,0,0,0,'authentic'
17,59,255,0,0,0,0,0,0,0,'poor'
151,317,1702,0,0,0,0,0,0,1,'poor'
9,42,335,0,0,0,0,0,0,0,'poor'
53,1072,793,0,0,0,0,5,7,1,'poor'
24,378,752,0,0,0,0,1,1,1,'poor'
109,276,1381,0,0,0,0,9,0,0,'poor'
80,177,1176,0,0,0,0,0,0,0,'poor'
19,74,475,0,0,1,0,0,0,0,'poor'
13,53,234,0,0,0,0,0,1,1,'poor'
4,21,58,0,0,0,0,0,0,0,'poor'
2,95,528,0,0,0,0,0,0,0,'poor'
0,3369,1280,0,0,1,0,0,145,0,'poor'
70,3629,3648,0,0,1,0,0,15,1,'poor'
0,0,598,1,1,0,0,0,0,0,'authentic'
1418,1063,4665,0,0,0,0,82,0,0,'poor'
11,16,120,0,0,0,0,0,0,0,'poor'
6,345,1812,0,0,0,0,3,3,0,'poor'
27,329,1130,0,1,0,0,0,0,0,'poor'
2,40,79,0,0,0,0,0,0,0,'poor'
4,121,958,0,0,0,0,0,0,0,'poor'
4,350,2443,0,0,0,0,39,0,1,'poor'
1114,8566,6237,0,0,1,0,1,0,0,'authentic'
1,144,469,0,0,0,0,0,0,0,'poor'
59,4093,5338,0,0,1,0,0,1,1,'poor'
169,270,2290,0,1,0,0,0,0,0,'poor'
4,942,3422,0,1,0,0,0,0,0,'poor'
34,436,1381,0,1,0,0,0,0,0,'poor'
71,1211,1954,0,0,1,0,0,50,0,'poor'
21,97,475,1,0,0,0,0,0,1,'authentic'
86,2102,4310,0,0,1,0,1,3,1,'poor'
15,347,326,0,0,0,0,0,0,0,'poor'
12,352,385,0,0,1,0,0,10,0,'poor'
23,248,2069,0,0,0,0,2,0,0,'poor'
14,15,162,1,0,0,0,0,0,0,'authentic'
51,175,204,0,0,0,0,0,0,1,'poor'
18,44,164,0,0,0,0,0,0,0,'poor'
307,739,912,0,1,0,0,1,0,1,'poor'
44,57,414,1,0,0,0,1,0,1,'authentic'
6,100,570,0,1,0,0,0,0,0,'poor'
240,1373,6248,0,0,0,0,19,2,0,'poor'
56,114,638,0,1,0,0,1,0,0,'poor'
21,332,867,0,0,0,0,0,2,0,'poor'
192,815,5756,0,0,0,0,0,3,0,'poor'
5,97,35,0,0,0,0,0,0,0,'poor'
20,122,395,0,0,0,0,2,1,0,'poor'
49,3143,4596,0,0,0,0,0,48,0,'poor'
51,2066,1553,0,0,0,0,0,0,1,'poor'
7,189,359,0,1,0,0,0,0,0,'poor'
52,34,71,0,0,0,0,0,0,1,'poor'
3,34805,7460,0,0,0,0,0,13,0,'authentic'
10,277,1665,0,0,0,0,0,0,0,'poor'
36,189,1340,0,0,1,0,0,0,0,'poor'
15,712,3704,0,1,0,0,0,0,0,'poor'
61,272,2080,0,1,0,0,0,0,0,'poor'
529,129,1037,0,0,0,0,14,0,1,'poor'
411,57454,6022,0,0,1,0,0,0,1,'authentic'
73,232,1000,0,0,0,0,0,24,1,'poor'
11,32538,5354,0,0,1,0,0,4,0,'authentic'
1710,28691,7254,0,0,1,0,4,46,1,'authentic'
106,106,422,0,0,0,0,0,0,0,'poor'
2,2768,1647,0,0,1,0,1,0,1,'poor'
0,362,1272,0,1,0,0,0,0,0,'poor'
250,602,2482,0,0,0,0,0,0,1,'poor'
4,68,422,0,0,0,0,10,1,0,'poor'
55,262,595,0,1,0,0,7,0,0,'poor'
1664,37951,3793,0,0,0,0,0,14,0,'authentic'
0,947,6250,0,0,0,0,0,7,0,'poor'
0,315,2035,0,0,0,0,0,0,0,'poor'
353,8389,7392,0,0,1,0,17,40,0,'authentic'
196,77,813,0,0,1,0,0,0,0,'poor'
3417,15915,5187,0,1,0,0,0,0,1,'authentic'
24,293,368,0,0,1,0,0,22,1,'poor'
20,1281,6751,0,0,0,0,0,1,0,'poor'
23,1009,3097,0,0,0,0,0,3,0,'poor'
0,15,79,0,1,0,0,0,0,0,'poor'
50,154,544,0,0,0,0,0,0,1,'poor'
432,889,2658,0,1,0,0,0,0,1,'poor'
4,53,48,0,0,0,0,0,0,0,'poor'
60,620,4898,0,0,0,0,16,0,0,'poor'
94,461,2927,0,0,0,0,10,0,1,'poor'
33,72,221,0,1,0,0,0,0,0,'poor'
20,983,4139,0,0,0,0,0,0,0,'poor'
364,276,2187,0,0,0,0,0,2,0,'poor'
159,253,2055,0,0,1,0,9,3,1,'poor'
502,3475,4967,0,0,0,0,0,0,0,'poor'
561,16575,3059,0,0,1,0,0,2,1,'authentic'
0,19,100,0,0,0,0,4,0,0,'poor'
1,49,48,0,0,0,0,0,0,0,'poor'
1,2,9,0,0,0,0,0,0,0,'poor'
6,72,120,0,1,0,0,0,0,0,'poor'
1,50,112,0,0,0,0,0,0,1,'poor'
6,98,324,0,0,0,0,0,0,0,'poor'
4,825,612,0,0,0,0,0,1,0,'poor'
2,77,72,0,0,0,0,0,1,0,'poor'
0,1162,133,0,0,1,0,3,4,0,'poor'
0,66,50,0,0,0,0,0,1,0,'poor'
1,776,2033,0,0,0,0,5,3,0,'poor'
13,63064,938,0,1,0,0,0,0,0,'authentic'
28,2310,337,0,0,1,0,0,21,1,'poor'
54,1360,190,0,0,0,0,0,5,1,'poor'
12,895,656,0,0,0,0,0,0,1,'poor'
1,150,441,0,1,0,0,0,0,0,'poor'
0,67,197,0,0,0,0,0,0,0,'poor'
4,239,304,0,0,0,0,0,9,0,'poor'
90,1313,225,0,0,1,0,0,86,1,'poor'
48,5599,1622,0,0,1,0,0,26,1,'poor'
71,356,788,0,0,0,0,9,0,0,'poor'
4,4107,3184,0,0,1,0,3,2,1,'poor'
322,976,694,0,0,0,0,2,49,1,'poor'
245,1894,517,0,0,1,0,0,14,1,'poor'
25,818,413,0,0,0,0,0,3,1,'poor'
11,113,120,0,1,0,0,0,0,0,'poor'
11,6116,1491,0,0,1,0,0,9,1,'authentic'
0,21,38,0,0,0,0,0,0,0,'poor'
24,1198,435,0,1,0,0,0,0,0,'poor'
3,850,371,0,0,0,0,0,0,1,'poor'
184,2153,818,0,1,0,0,11,0,0,'poor'
98,486,470,0,0,0,0,1,10,0,'poor'
0,122,181,0,0,0,0,0,0,0,'poor'
0,52,30,0,0,0,0,0,0,0,'poor'
49,401,350,0,0,0,0,0,14,0,'poor'
14,420,969,0,0,0,0,13,4,0,'poor'
16,2049,383,0,0,1,0,0,13,0,'poor'
1,52,90,0,0,1,0,0,0,0,'poor'
17,968,601,0,0,0,0,0,7,1,'poor'
5,272,351,0,1,0,0,0,0,0,'poor'
69,2175,1056,0,0,1,0,0,4,1,'poor'
14,3509,2379,0,0,0,0,2,9,1,'poor'
4,516,286,0,0,0,0,0,5,0,'poor'
4,512,370,0,0,0,0,0,1,0,'poor'
65,326,164,0,0,0,0,0,1,0,'poor'
21,3357,1150,0,0,1,0,0,10,1,'poor'
12,2053,869,0,0,0,0,11,1,0,'poor'
2,1951,4375,0,0,1,0,0,7,1,'poor'
5,123,888,0,1,0,0,0,0,0,'poor'
76,3367,797,0,1,0,0,0,0,0,'poor'
0,7,32,0,0,0,0,0,0,0,'poor'
1,352,285,0,0,0,0,0,0,1,'poor'
0,10,121,0,0,0,0,0,0,0,'poor'
37,452,295,0,1,0,0,0,0,0,'poor'
5,185,353,0,0,0,0,2,1,0,'poor'
0,2213,845,0,0,1,0,0,2,1,'poor'
9,287,232,0,0,0,0,0,1,0,'poor'
1,133,166,0,0,0,0,0,0,0,'poor'
47,105,67,0,0,0,0,0,1,1,'poor'
733,4867,984,0,0,1,0,2,289,1,'authentic'
14,202,180,0,0,0,0,1,0,1,'poor'
18,1461,1114,0,0,1,0,1,0,0,'poor'
268,17366,749,0,0,1,0,0,75,0,'authentic'
20,105,194,0,0,0,0,0,17,0,'poor'
0,10,61,0,0,0,0,0,0,0,'poor'
159,38813,477,0,0,1,0,1,42,1,'authentic'
0,5,40,1,0,0,0,0,0,0,'authentic'
8,652,275,0,0,0,0,0,5,1,'poor'
0,981,154,0,0,0,0,1,4,1,'poor'
403,9139,766,0,0,0,0,22,4,1,'authentic'
0,2,10,0,0,0,0,0,0,0,'poor'
21,397,251,0,0,0,0,0,1,1,'poor'
2,887,238,0,0,1,0,0,2,0,'poor'
46,488,1311,0,0,1,0,2,1,1,'poor'
10,1040,648,0,0,1,0,1,3,1,'poor'
1,56,93,0,0,0,0,0,0,0,'poor'
6,655,175,0,0,0,0,1,0,1,'poor'
4,311,293,0,0,0,0,0,0,0,'poor'
2,20,20,0,0,0,0,0,0,1,'poor'
27,10542,56,0,0,0,0,0,1,1,'authentic'
0,301,767,0,0,0,0,0,1,0,'poor'
27,4678,768,0,0,1,0,84,17,1,'poor'
57,1206,975,0,0,1,0,2,1,1,'poor'
93,489,638,0,1,0,0,0,0,0,'poor'
98,157,272,0,1,0,0,1,0,0,'poor'
133,441,561,0,1,0,0,0,0,0,'poor'
13,922,843,0,0,0,0,5,9,1,'poor'
234,33100,4767,0,0,1,0,0,64,1,'authentic'
2,81,150,0,0,0,0,3,1,0,'poor'
22,337,740,0,0,0,0,0,2,0,'poor'
74,6727,369,0,0,1,0,20,34,1,'authentic'
0,0,147,0,1,0,0,0,0,0,'poor'
0,207,160,0,0,0,0,0,14,0,'poor'
15,228,418,0,0,1,0,2,4,1,'poor'
99,8332,7451,0,0,1,0,0,62,1,'authentic'
1,5,36,0,0,0,0,0,0,0,'poor'
1,106,484,0,0,0,0,0,0,0,'poor'
0,65,48,0,0,0,0,0,0,0,'poor'
1,332,251,0,0,0,0,0,0,0,'poor'
31,4502,1814,0,0,1,0,3,5,0,'poor'
112,5255,575,0,0,1,0,0,30,1,'poor'
49,169,772,0,1,0,0,58,0,0,'poor'
2,241,1026,0,0,0,0,0,0,1,'poor'
6,5593,3243,0,1,0,0,0,0,0,'authentic'
836,18070,6443,0,0,0,0,4,150,1,'authentic'
82,109,206,0,0,0,0,0,0,1,'poor'
192,342,893,0,0,0,0,0,0,0,'poor'
15,86,918,0,1,0,0,0,0,0,'poor'
78,934,1771,0,0,1,0,14,12,1,'poor'
21,36,154,0,1,0,0,0,0,0,'poor'
33,267,1258,0,0,0,0,0,6,0,'poor'
5,324,1200,0,0,0,0,0,0,0,'poor'
25,224,343,0,1,0,0,0,0,0,'poor'
25,400,1379,0,0,0,0,8,1,0,'poor'
13,927,7050,0,0,1,0,2,1,0,'poor'
81,194,1099,0,0,0,0,1,6,1,'poor'
1,114,357,0,0,0,0,0,0,0,'poor'
12,79,142,0,1,0,0,0,0,0,'poor'
267,16609,1611,0,0,1,0,0,8,0,'authentic'
20,99,674,0,1,0,0,0,0,0,'poor'
8,201,1261,0,0,0,0,0,0,0,'poor'
40,202,359,0,0,0,0,3,8,0,'poor'
16,122,487,0,0,0,0,0,0,0,'poor'
553,31796,7256,0,0,1,0,0,19,1,'authentic'
64271,17603,3020,0,0,1,0,0,34,1,'authentic'
10,12,38,0,0,0,0,1,0,0,'poor'
6,39,15,0,0,0,0,0,0,0,'poor'
2,58,262,0,0,0,0,0,0,0,'poor'
2,16,13,1,0,0,0,1,0,0,'authentic'
2,99,526,0,0,0,0,0,0,0,'poor'
101,3182,3600,0,0,0,0,0,16,0,'poor'
18,151,769,0,1,0,0,1,0,0,'poor'
31,40,217,0,0,1,0,0,0,0,'poor'
14248,74504,2420,0,1,0,0,0,0,0,'authentic'
70,60,332,0,0,0,0,1,0,0,'poor'
2,1134,4094,0,1,0,0,0,0,0,'poor'
332,7278,5237,0,0,1,0,0,342,0,'authentic'
70,474,1633,0,0,0,0,0,0,0,'poor'
22,56,116,0,0,0,0,0,0,0,'poor'
7,82,300,0,0,0,0,0,0,0,'poor'
9,23,31,0,0,0,0,0,0,1,'poor'
25,228,859,0,0,0,0,1,0,1,'poor'
1,67,960,0,0,0,0,0,0,0,'poor'
4,291,1377,0,0,0,0,7,0,0,'poor'
2459,4886,2978,0,0,1,0,0,5,1,'authentic'
6,19,34,0,0,0,0,0,0,0,'poor'
15,385,1385,0,0,0,0,0,2,0,'poor'
135,189,1632,0,0,1,0,15,0,0,'poor'
542,12077,1396,0,0,1,0,0,109,1,'authentic'
330,582,1326,0,1,0,0,2,0,0,'poor'
31,257,255,0,0,0,0,0,0,1,'poor'
4,253,987,0,0,0,0,1,0,0,'poor'
48,4341,4261,0,0,1,0,2,13,1,'poor'
75,2151,6392,0,0,1,0,0,0,1,'poor'
81,352,1698,0,0,0,0,10,0,1,'poor'
6,34729,7452,0,0,0,0,0,11,0,'authentic'
3,62,491,0,0,0,0,1,0,1,'poor'
71,265,949,0,0,0,0,0,0,0,'poor'
168,13006,3980,0,0,1,0,0,0,1,'authentic'
59,128,2140,0,1,0,0,0,0,0,'poor'
27,73,177,0,0,0,0,5,0,0,'poor'
66,1399,5541,0,0,1,0,0,0,1,'poor'
392,100,549,0,0,0,0,0,0,0,'poor'
150,197,519,0,0,0,0,53,1,1,'poor'
188,1293,7500,0,0,0,0,8,7,0,'poor'
6,18,99,1,0,0,0,0,0,0,'authentic'
11,60,356,0,0,0,0,5,0,1,'poor'
96,2892,1684,0,0,0,0,0,29,0,'poor'
39,424,3240,0,0,0,0,0,3,1,'poor'
9,17,49,0,0,0,0,0,0,0,'poor'
31,73,22,0,1,0,0,0,0,0,'poor'
40,681,3144,0,0,0,0,2,3,1,'poor'
75,842,1862,0,0,0,0,1,28,1,'poor'
1,30,76,0,0,0,0,0,0,0,'poor'
154,740,346,0,0,1,0,0,1,1,'poor'
319,444,2285,0,0,0,0,4,0,0,'poor'
27,991,4070,0,0,0,0,3,0,0,'poor'
1,87,278,0,0,0,0,0,0,1,'poor'
114,365,2005,0,0,0,0,1,0,1,'poor'
10,59,248,1,0,0,0,0,0,0,'authentic'
37,1018,3538,0,0,1,0,0,0,1,'poor'
286,8415,4899,0,0,0,0,0,8,0,'authentic'
63,323,244,0,0,0,0,1,14,1,'poor'
18,138,427,0,0,1,0,0,0,0,'poor'
10,27,45,0,0,0,0,0,0,0,'poor'
19,4081,7422,0,0,1,0,1,6,0,'poor'
1320,26059,4064,0,0,1,0,4,14,1,'authentic'
247,761,2598,0,1,0,0,0,0,0,'poor'
110,1239,7463,0,0,0,0,0,1,1,'poor'
2012,28872,3064,0,0,0,0,0,2,1,'authentic'
57,3811,1304,0,0,0,0,0,13,1,'poor'
143,3877,1471,0,0,0,0,1,3,0,'poor'
19,403,2773,0,0,0,0,2,0,0,'poor'
7,178,604,0,0,0,0,0,0,0,'poor'
23,210,510,0,0,1,0,0,0,1,'poor'
58,1512,4553,0,0,0,0,0,45,1,'poor'
413,893,2831,0,0,1,0,2,15,1,'poor'
2,20,43,0,0,0,0,0,0,1,'poor'
3,155,356,0,1,0,0,0,0,0,'poor'
8,971,915,0,0,1,0,0,0,0,'poor'
1537,2523,940,0,0,1,0,0,97,1,'poor'
154,9632,2148,0,0,1,0,0,22,0,'authentic'
16,318,1183,0,1,0,0,0,0,0,'poor'
8,3111,711,0,0,1,0,0,6,0,'poor'
56,1337,1879,0,0,1,0,17,2,1,'poor'
70,542,414,0,0,0,0,0,79,1,'poor'
34,342,69,0,1,0,0,0,0,0,'poor'
5,218,61,0,0,0,0,0,2,0,'poor'
22,527,216,0,0,0,0,0,6,1,'poor'
34,2468,652,0,0,0,0,0,16,1,'poor'
13,2368,846,0,0,1,0,0,13,1,'poor'
52,230,584,0,0,0,0,0,5,1,'poor'
21,381,1312,0,0,0,0,1,3,0,'poor'
29,964,999,0,0,1,0,0,0,0,'poor'
6,100,360,0,0,0,0,0,0,0,'poor'
86,9512,674,0,0,0,0,2,20,1,'authentic'
5,123,150,0,0,0,0,0,1,0,'poor'
12,333,355,0,1,0,0,0,0,0,'poor'
643,830,1216,0,0,0,0,0,88,1,'poor'
45,831,408,0,0,1,0,0,1,1,'poor'
5,1080,165,0,0,1,0,0,2,1,'poor'
21,264,289,0,0,0,0,0,8,0,'poor'
147,32,173,0,1,0,0,0,0,0,'poor'
86,745,708,0,0,1,0,0,4,0,'poor'
13,1342,939,0,0,0,0,0,6,1,'poor'
42,677,211,0,0,0,0,0,10,1,'poor'
16,3201,333,0,0,0,0,0,1,0,'poor'
27,97,251,0,0,1,0,0,1,1,'poor'
77,555,841,0,0,0,0,0,0,1,'poor'
799,824,405,0,0,0,0,0,37,1,'poor'
129,5088,210,0,0,0,0,1,7,1,'poor'
89,833,3705,0,0,1,0,1,8,1,'poor'
66,2393,952,0,0,1,0,0,19,1,'poor'
3,104,663,0,0,0,0,0,1,0,'poor'
25,159,1062,0,0,0,0,0,3,0,'poor'
0,779,259,0,0,0,0,0,0,0,'poor'
28,1558,1454,0,0,1,0,0,4,1,'poor'
125,8316,243,0,0,0,0,0,2,0,'authentic'
3530,35403,764,0,0,0,0,0,621,1,'authentic'
15,245,1357,0,0,1,0,14,0,1,'poor'
2,6504,2125,0,0,1,0,0,0,0,'authentic'
6,1070,413,0,0,0,0,0,0,0,'poor'
2,402,270,0,0,0,0,0,1,0,'poor'
1,1303,518,0,0,1,0,0,70,1,'poor'
245,1967,896,0,1,0,0,0,0,0,'poor'
362,445,621,0,1,0,0,2,0,0,'poor'
29,450,312,0,0,0,0,3,1,1,'poor'
4,340,199,0,1,0,0,0,0,0,'poor'
7,1941,317,0,0,1,0,0,4,1,'poor'
29,1721,1942,0,0,1,0,0,1,1,'poor'
31,2556,185,0,0,0,0,1,5,0,'poor'
176,1279,286,0,0,0,0,4,1,0,'poor'
14,791,825,0,0,0,0,26,0,1,'poor'
72,1347,383,0,0,0,0,0,22,1,'poor'
36,253,532,0,1,0,0,0,0,0,'poor'
80,1762,347,0,0,1,0,5,50,1,'poor'
2,281,1796,0,0,0,0,37,0,0,'poor'
4,440,193,0,0,1,0,7,0,0,'poor'
45,395,58,0,0,0,0,0,26,0,'poor'
596,3541,1025,0,0,0,0,12,1,1,'poor'
488,1446,1177,0,0,0,0,0,74,1,'poor'
48,2802,609,0,0,0,0,0,3,0,'poor'
6,442,553,0,0,0,0,0,2,0,'poor'
0,46,1342,0,0,0,0,17,0,0,'poor'
101,471,624,0,1,0,0,0,0,0,'poor'
0,114,410,0,0,0,0,3,0,1,'poor'
160,305,1421,0,0,1,0,0,0,1,'poor'
157,173,265,0,1,0,0,3,0,0,'poor'
2,302,65,0,0,0,0,0,0,0,'poor'
52,897,5780,0,0,0,0,6,8,1,'poor'
0,92,462,0,0,0,0,0,0,0,'poor'
262,538,486,0,0,0,0,4,7,1,'poor'
18,15316,1771,0,0,1,0,12,2,1,'authentic'
43,2928,454,0,0,0,0,0,2,1,'poor'
14,922,890,0,1,0,0,0,0,0,'poor'
10,209,3538,0,0,0,0,0,0,0,'poor'
351,1785,5971,0,0,1,0,26,5,1,'poor'
7,269,1144,0,1,0,0,2,0,0,'poor'
58,2180,629,0,0,0,0,0,23,0,'poor'
2070,8002,702,0,0,1,0,6,48,1,'authentic'
0,22,64,0,0,0,0,0,0,0,'poor'
5,838,368,0,0,0,0,0,4,1,'poor'
11,1501,152,0,0,0,0,0,2,0,'poor'
78,1918,1232,0,1,0,0,11,0,0,'poor'
214,2180,728,0,1,0,0,2,0,0,'poor'
7,333,194,0,0,1,0,0,0,0,'poor'
307,770,341,0,0,0,0,0,68,1,'poor'
224,269,220,0,1,0,0,0,0,0,'poor'
0,12,71,0,1,0,0,0,0,0,'poor'
28,3661,1902,0,0,1,0,50,22,1,'poor'
3,148,631,0,0,0,0,0,8,0,'poor'
30,810,1272,0,1,0,0,6,0,0,'poor'
8,1693,349,0,0,1,0,0,8,1,'poor'
478,10318,662,0,0,1,0,1,137,1,'authentic'
197,2106,2396,0,0,0,0,0,4,0,'poor'
232,121,1568,0,1,0,0,20,0,0,'poor'
65,439,376,0,0,0,0,0,3,0,'poor'
4,127,399,0,0,1,0,0,0,0,'poor'
290,1478,1165,0,0,1,0,0,1,1,'poor'
47,1654,410,0,0,0,0,0,16,0,'poor'
3,1005,734,0,0,0,0,7,4,0,'poor'
38,122,174,0,0,1,0,4,5,0,'poor'
19,1907,265,0,0,1,0,4,5,0,'poor'
28,687,389,0,1,0,0,0,0,0,'poor'
35,3068,1667,0,0,1,0,2,5,0,'poor'
139,481,494,0,1,0,0,1,0,0,'poor'
3,325,264,0,0,1,0,2,1,1,'poor'
353,19718,1188,0,0,0,0,0,550,0,'authentic'
1442,4655,788,0,0,1,0,2,441,1,'authentic'
184,40,66,0,1,0,0,1,0,0,'poor'
0,9,118,1,0,0,0,10,1,0,'authentic'
130,1107,713,0,0,1,0,15,125,1,'poor'
73,4429,1855,0,0,1,0,9,9,0,'poor'
78,176,444,0,1,0,0,0,0,0,'poor'
31,446,1588,0,0,0,0,1,6,0,'poor'
338,1171,1034,0,0,1,0,0,69,1,'poor'
20,1879,235,0,0,1,0,20,10,1,'poor'
34,27,148,0,1,0,0,2,0,0,'poor'
10,93,237,0,0,0,0,0,0,0,'poor'
2,51,238,0,0,1,0,0,0,0,'poor'
401,1777,3074,0,0,1,0,2,289,0,'authentic'
952,16262,7319,0,0,1,0,2,1577,1,'authentic'
376,8226,1881,0,0,1,0,0,17,1,'authentic'
7,34,59,0,0,0,0,1,0,0,'poor'
425,179,100,0,0,0,0,0,7,0,'poor'
1,3,11,0,0,0,0,0,0,0,'poor'
84,4683,563,0,0,0,0,0,26,1,'poor'
91,2006,872,0,0,0,0,0,0,1,'poor'
23,600,1767,0,0,1,0,60,0,0,'poor'
359,686,1335,0,0,0,0,0,0,1,'poor'
29,1,228,0,1,0,0,0,0,0,'poor'
11,149,315,0,0,1,0,32,0,1,'poor'
116,1427,2192,0,0,0,0,27,7,1,'poor'
11,29,149,0,1,0,0,15,0,0,'poor'
10,0,5822,0,1,0,0,0,0,0,'poor'
121,393,519,0,1,0,0,0,0,0,'poor'
22,230,252,0,1,0,0,0,0,0,'poor'
407,397,540,0,0,0,0,1,191,0,'authentic'
31,91,208,0,1,0,0,0,0,0,'poor'
55,315,570,0,0,1,0,0,7,1,'poor'
76,25,40,0,1,0,0,0,0,0,'poor'
2,9,79,1,0,0,0,2,0,0,'authentic'
113,3706,1123,0,0,1,0,0,18,0,'poor'
